Taxon,Stage,Insect?,Higher classification,Origin,Order,Family,Common name,BCG Attribute,Feeding Group,CA feeding group,Habit,Tolerance,WY HBI,PSSB tolerance,CA tolerance,Metals tolerance,BCI TV,PSSB long-lived,Voltinism,Development,Occurrence in drift,Size at maturity,Rheophily,Thermal preference,a,b
Header,U,non-insect,x,Terrestrial,x,x,x,0,UN,UN,UN,0,0,0,11,11,110,0,0,0,0,0,0,0,0,0
Crassiclitellata,U,non-insect,Annelida: Oligochaeta,Terrestrial,miscellaneous non-insect,Lumbriculidae,segmented worms,0,CG,CG,BU,0,0,0,5,11,110,0,2,2,1,2,2,2,0.0758,0.74
Gastropoda (terrestrial),U,non-insect,Mollusca: Gastropoda,Terrestrial,x,x,terrestrial snails,0,UN,UN,UN,0,0,0,11,11,110,0,0,0,0,0,0,0,0.172,1.688
Pulmonata (slugs),U,non-insect,Mollusca: Gastropoda,Terrestrial,x,x,land slugs,0,UN,UN,UN,0,0,0,11,11,110,0,0,0,0,0,0,0,0.172,1.688
Stylommatophora,U,non-insect,Mollusca: Gastropoda,Terrestrial,x,x,land slugs,0,UN,UN,UN,0,0,0,11,11,110,0,0,0,0,0,0,0,0.172,1.688
Isopoda (terrestrial),U,non-insect,Crustacea: Isopoda,Terrestrial,x,x,sow and pill bugs,0,UN,UN,UN,0,0,0,11,11,110,0,0,0,0,0,0,0,0.0102,3.16
Armadillidium vulgare,U,non-insect,Crustacea: Isopoda,Terrestrial,x,x,sow and pill bugs,0,UN,UN,UN,0,0,0,11,11,110,0,0,0,0,0,0,0,0.0102,3.16
Ligidium,U,non-insect,Crustacea: Isopoda,Terrestrial,x,x,sow and pill bugs,0,UN,UN,UN,0,0,0,11,11,110,0,0,0,0,0,0,0,0.0102,3.16
Ligidium gracile,U,non-insect,Crustacea: Isopoda,Terrestrial,x,x,sow and pill bugs,0,UN,UN,UN,0,0,0,11,11,110,0,0,0,0,0,0,0,0.0102,3.16
Porcellio scaber,U,non-insect,Crustacea: Isopoda,Terrestrial,x,x,sow and pill bugs,0,UN,UN,UN,0,0,0,11,11,110,0,0,0,0,0,0,0,0.0102,3.16
Chilopoda,U,non-insect,Arthropoda: Chilopoda,Terrestrial,miscellaneous non-insect,x,centipedes,0,UN,UN,UN,0,0,0,11,11,110,0,0,0,0,0,0,0,0.002,2.9277
Diplopoda,U,non-insect,Arthropoda: Chilopoda,Terrestrial,miscellaneous non-insect,x,millipedes,0,UN,UN,UN,0,0,0,11,11,110,0,0,0,0,0,0,0,0.002,2.9277
Pseudoscorpionida,U,non-insect,Arthropoda: Pseudoscorpionida,Terrestrial,miscellaneous non-insect,x,pseudoscorpions,0,UN,UN,UN,0,0,0,11,11,110,0,0,0,0,0,0,0,0.0078,3.424
Collembola,U,non-insect,Arthropoda: Collembola,Terrestrial,x,x,springtails,0,UN,UN,UN,0,0,0,11,11,110,0,0,0,0,0,0,0,0.0024,3.676
Microcoryphia,U,non-insect,Arthropoda: Microcoryphia,Terrestrial,miscellaneous non-insect,x,jumping bristletails,0,UN,UN,UN,0,0,0,11,11,110,0,0,0,0,0,0,0,0.0747,1.601
Acari (terrestrial),U,non-insect,Arachnida: Acari,Aquatic,x,x,mites,4,PA,PR,SW,0,5,0,5,11,108,0,3,2,2,1,2,2,0.053,2.494
Araneae,U,non-insect,Arthropoda: Arachnida,Terrestrial,x,x,spiders,0,UN,UN,UN,0,0,0,11,11,110,0,0,0,0,0,0,0,0.0298,2.809
Terrestrial insects,U,insect,Arthropoda: Insecta,Terrestrial,x,x,x,0,UN,UN,UN,0,0,0,11,11,110,0,0,0,0,0,0,0,0,0
Coleoptera,L,insect,Arthropoda: Insecta,Terrestrial,Coleoptera,x,beetles,0,UN,UN,UN,0,0,0,11,11,110,0,0,0,0,0,0,0,0.0035,2.4033
Coleoptera,P,insect,Arthropoda: Insecta,Terrestrial,Coleoptera,x,beetles,0,UN,UN,UN,0,0,0,11,11,110,0,0,0,0,0,0,0,0.04,2.64
Coleoptera,A,insect,Arthropoda: Insecta,Terrestrial,Coleoptera,x,beetles,0,UN,UN,UN,0,0,0,11,11,110,0,0,0,0,0,0,0,0.04,2.64
Carabidae,L,insect,Arthropoda: Insecta,Terrestrial,Coleoptera,Carabidae,ground beetles,0,UN,UN,UN,0,0,0,11,11,110,0,0,0,0,0,0,0,0.0035,2.4033
Carabidae,A,insect,Arthropoda: Insecta,Terrestrial,Coleoptera,Carabidae,ground beetles,0,UN,UN,UN,0,0,0,11,11,110,0,0,0,0,0,0,0,0.0237,2.7054
Cantharidae,L,insect,Arthropoda: Insecta,Terrestrial,Coleoptera,Cantharidae,soldier beetles,0,UN,UN,UN,0,0,0,11,11,110,0,0,0,0,0,0,0,0.0035,2.4033
Cantharidae,A,insect,Arthropoda: Insecta,Terrestrial,Coleoptera,Cantharidae,soldier beetles,0,UN,UN,UN,0,0,0,11,11,110,0,0,0,0,0,0,0,0.04,2.64
Chrysomelidae,A,insect,Arthropoda: Insecta,Terrestrial,Coleoptera,Chrysomelidae,leaf beetles,0,UN,UN,UN,0,0,0,11,11,110,0,0,0,0,0,0,0,0.04,2.64
Chrysomelidae,L,insect,Arthropoda: Insecta,Terrestrial,Coleoptera,Chrysomelidae,leaf beetles,0,UN,UN,UN,0,0,0,11,11,110,0,0,0,0,0,0,0,0.0035,2.4033
Cicindelidae,A,insect,Arthropoda: Insecta,Terrestrial,Coleoptera,Cicindelidae,tiger beetles,0,UN,UN,UN,0,0,0,11,11,110,0,0,0,0,0,0,0,0.0237,2.7054
Coccinellidae,L,insect,Arthropoda: Insecta,Terrestrial,Coleoptera,Coccinellidae,ladybird beetles,0,UN,UN,UN,0,0,0,11,11,110,0,0,0,0,0,0,0,0.0035,2.4033
Coccinellidae,A,insect,Arthropoda: Insecta,Terrestrial,Coleoptera,Coccinellidae,ladybird beetles,0,UN,UN,UN,0,0,0,11,11,110,0,0,0,0,0,0,0,0.343,1.5
Curculionidae,A,insect,Arthropoda: Insecta,Terrestrial,Coleoptera,Curculionidae,beetles,0,UN,UN,UN,0,0,0,11,11,110,0,0,0,0,0,0,0,0.1281,2.254
Elateridae,A,insect,Arthropoda: Insecta,Terrestrial,Coleoptera,Elateridae,click beetles,0,UN,UN,UN,0,0,0,11,11,110,0,0,0,0,0,0,0,0.04,2.64
Hydraenidae,A,insect,Arthropoda: Insecta,Terrestrial,Coleoptera,Hydraenidae,beetles,0,UN,UN,UN,0,0,0,11,11,110,0,0,0,0,0,0,0,0.04,2.64
Scolytidae,A,insect,Arthropoda: Insecta,Terrestrial,Coleoptera,Scolytidae,minute moss beetles,0,UN,UN,UN,0,0,0,11,11,110,0,0,0,0,0,0,0,0.04,2.64
Silphidae,A,insect,Arthropoda: Insecta,Terrestrial,Coleoptera,Silphidae,carrion beetles,0,UN,UN,UN,0,0,0,11,11,110,0,0,0,0,0,0,0,0.0237,2.7054
Staphylinidae,A,insect,Arthropoda: Insecta,Terrestrial,Coleoptera,Staphylinidae,rove beetles,0,UN,UN,UN,0,0,0,11,11,110,0,0,0,0,0,0,0,0.0134,2.26
Staphylinidae,L,insect,Arthropoda: Insecta,Terrestrial,Coleoptera,Staphylinidae,rove beetles,0,UN,UN,UN,0,0,0,11,11,110,0,0,0,0,0,0,0,0.0035,2.4033
Dermaptera,A,insect,Arthropoda: Insecta,Terrestrial,Dermaptera,x,earwigs,0,UN,UN,UN,0,0,0,11,11,110,0,0,0,0,0,0,0,0.0035,2.4033
Brachycera,L,insect,Arthropoda: Insecta,Terrestrial,Diptera,x,higher flies,0,UN,UN,BU,HT,0,0,11,11,110,0,3,2,1,2,1,2,0.004,2.586
Brachycera,P,insect,Arthropoda: Insecta,Terrestrial,Diptera,x,higher flies,0,UN,UN,BU,HT,0,0,11,11,110,0,3,2,1,2,1,2,0.004,2.586
Brachycera,A,insect,Arthropoda: Insecta,Terrestrial,Diptera,x,higher flies,0,UN,UN,BU,HT,0,0,11,11,110,0,3,2,1,2,1,2,0.006,3.05
Cyclorrhapha (terrestrial),L,insect,Arthropoda: Insecta,Terrestrial,Diptera,x,higher flies,0,UN,UN,BU,HT,0,0,11,11,110,0,3,2,1,2,1,2,0.004,2.586
Cyclorrhapha (terrestrial),P,insect,Arthropoda: Insecta,Terrestrial,Diptera,x,higher flies,0,UN,UN,BU,HT,0,0,11,11,110,0,3,2,1,2,1,2,0.004,2.586
Cyclorrhapha (terrestrial),A,insect,Arthropoda: Insecta,Terrestrial,Diptera,x,higher flies,0,UN,UN,BU,HT,0,0,11,11,110,0,3,2,1,2,1,2,0.006,3.05
Empididae (terrestrial),L,insect,Arthropoda: Insecta,Terrestrial,Diptera,x,higher flies,0,UN,UN,BU,HT,0,0,11,11,110,0,3,2,1,2,1,2,0.004,2.586
Phoridae,A,insect,Arthropoda: Insecta,Terrestrial,Diptera,Phoridae,higher flies,0,UN,UN,BU,HT,0,0,11,11,110,0,3,2,1,2,1,2,0.006,3.05
Syrphidae,A,insect,Arthropoda: Insecta,Terrestrial,Diptera,Syrphidae,higher flies,0,UN,UN,BU,HT,0,0,11,11,110,0,3,2,1,2,1,2,0.006,3.05
Nematocera,L,insect,Arthropoda: Insecta,Terrestrial,Diptera,x,lower flies,0,UN,UN,UN,0,0,0,11,11,110,0,0,0,0,0,0,0,0.004,2.586
Nematocera,P,insect,Arthropoda: Insecta,Terrestrial,Diptera,x,lower flies,0,UN,UN,UN,0,0,0,11,11,110,0,0,0,0,0,0,0,0.0025,2.692
Nematocera,A,insect,Arthropoda: Insecta,Terrestrial,Diptera,x,lower flies,0,UN,UN,UN,0,0,0,11,11,110,0,0,0,0,0,0,0,0.021,2.081
Anisopodidae,A,insect,Arthropoda: Insecta,Terrestrial,Diptera,x,lower flies,0,UN,UN,UN,0,0,0,11,11,110,0,0,0,0,0,0,0,0.021,2.081
Axymyiidae,A,insect,Arthropoda: Insecta,Terrestrial,Diptera,x,lower flies,0,UN,UN,UN,0,0,0,11,11,110,0,0,0,0,0,0,0,0.021,2.081
Bibionidae,L,insect,Arthropoda: Insecta,Terrestrial,Diptera,Bibionidae,lower flies,0,UN,UN,BU,MT,11,0,11,11,110,0,3,1,1,1,1,2,0.004,2.586
Bibionidae,A,insect,Arthropoda: Insecta,Terrestrial,Diptera,Bibionidae,lower flies,0,UN,UN,UN,0,0,0,11,11,110,0,0,0,0,0,0,0,0.021,2.081
Cecidomyiidae,L,insect,Arthropoda: Insecta,Terrestrial,Diptera,Cecidomyiidae,gall gnats,0,UN,UN,UN,0,0,0,11,11,110,0,0,0,0,0,0,0,0.004,2.586
Cecidomyiidae,A,insect,Arthropoda: Insecta,Terrestrial,Diptera,Cecidomyiidae,gall gnats,0,UN,UN,UN,0,0,0,11,11,110,0,0,0,0,0,0,0,0.021,2.081
Mycetophilidae,L,insect,Arthropoda: Insecta,Terrestrial,Diptera,Mycetophilidae,fungus gnats,0,UN,UN,BU,MT,11,0,11,11,110,0,3,1,1,1,1,2,0.0025,2.692
Mycetophilidae,A,insect,Arthropoda: Insecta,Terrestrial,Diptera,Mycetophilidae,fungus gnats,0,UN,UN,UN,0,0,0,11,11,110,0,0,0,0,0,0,0,0.021,2.081
Scatopsidae,A,insect,Arthropoda: Insecta,Terrestrial,Diptera,Scatopsidae,minute black scavenger flies,0,UN,UN,UN,0,0,0,11,11,110,0,0,0,0,0,0,0,0.021,2.081
Sciaridae,A,insect,Arthropoda: Insecta,Terrestrial,Diptera,Sciaridae,root gnats,0,UN,UN,UN,0,0,0,11,11,110,0,0,0,0,0,0,0,0.021,2.081
Trichocera,A,insect,Arthropoda: Insecta,Terrestrial,Diptera,Trichoceridae,winter crane flies,0,UN,UN,UN,0,0,0,11,11,110,0,0,0,0,0,0,0,0.021,2.081
Hemiptera: Auchenorrhyncha,A,insect,Arthropoda: Insecta,Terrestrial,Hemiptera: Auchenorrhyncha,x,planthoppers & cicadas,0,UN,UN,UN,0,0,0,11,11,110,0,0,0,0,0,0,0,0.005,3.33
Hemiptera: Auchenorrhyncha,L,insect,Arthropoda: Insecta,Terrestrial,Hemiptera: Auchenorrhyncha,x,planthoppers & cicadas,0,UN,UN,UN,0,0,0,11,11,110,0,0,0,0,0,0,0,0.005,3.33
Cercopidae,L,insect,Arthropoda: Insecta,Terrestrial,Hemiptera: Auchenorrhyncha,Cercopidae,froghoppers,0,UN,UN,UN,0,0,0,11,11,110,0,0,0,0,0,0,0,0.079,2.229
Cercopidae,A,insect,Arthropoda: Insecta,Terrestrial,Hemiptera: Auchenorrhyncha,Cercopidae,froghoppers,0,UN,UN,UN,0,0,0,11,11,110,0,0,0,0,0,0,0,0.079,2.229
Cicadellidae,L,insect,Arthropoda: Insecta,Terrestrial,Hemiptera: Auchenorrhyncha,Cicadellidae,leafhoppers,0,UN,UN,UN,0,0,0,11,11,110,0,0,0,0,0,0,0,0.079,2.229
Cicadellidae,A,insect,Arthropoda: Insecta,Terrestrial,Hemiptera: Auchenorrhyncha,Cicadellidae,leafhoppers,0,UN,UN,UN,0,0,0,11,11,110,0,0,0,0,0,0,0,0.079,2.229
Delphacidae,A,insect,Arthropoda: Insecta,Terrestrial,Hemiptera: Auchenorrhyncha,Delphacidae,planthoppers & cicadas,0,UN,UN,UN,0,0,0,11,11,110,0,0,0,0,0,0,0,0.005,3.33
Delphacidae,L,insect,Arthropoda: Insecta,Terrestrial,Hemiptera: Auchenorrhyncha,Delphacidae,planthoppers & cicadas,0,UN,UN,UN,0,0,0,11,11,110,0,0,0,0,0,0,0,0.005,3.33
Hemiptera: Heteroptera,A,insect,Arthropoda: Insecta,Terrestrial,Hemiptera: Heteroptera,x,true bugs,0,UN,UN,UN,0,0,0,11,11,110,0,0,0,0,0,0,0,0.0499,2.27
Hemiptera: Heteroptera,L,insect,Arthropoda: Insecta,Terrestrial,Hemiptera: Heteroptera,x,true bugs,0,UN,UN,UN,0,0,0,11,11,110,0,0,0,0,0,0,0,0.0499,2.27
Membracidae,A,insect,Arthropoda: Insecta,Terrestrial,Hemiptera: Heteroptera,Membracidae,tree hoppers,0,UN,UN,UN,0,0,0,11,11,110,0,0,0,0,0,0,0,0.005,3.33
Miridae,A,insect,Arthropoda: Insecta,Terrestrial,Hemiptera: Heteroptera,Miridae,true bugs,0,UN,UN,UN,0,0,0,11,11,110,0,0,0,0,0,0,0,0.0499,2.27
Miridae,L,insect,Arthropoda: Insecta,Terrestrial,Hemiptera: Heteroptera,Miridae,true bugs,0,UN,UN,UN,0,0,0,11,11,110,0,0,0,0,0,0,0,0.0499,2.27
Saldidae,A,insect,Arthropoda: Insecta,Terrestrial,Hemiptera: Heteroptera,Saldidae,shore bugs,0,UN,UN,UN,0,0,0,11,11,110,0,0,0,0,0,0,0,0.0499,2.27
Saldidae,L,insect,Arthropoda: Insecta,Terrestrial,Hemiptera: Heteroptera,Saldidae,shore bugs,0,UN,UN,UN,0,0,0,11,11,110,0,0,0,0,0,0,0,0.0499,2.27
Tingidae,A,insect,Arthropoda: Insecta,Terrestrial,Hemiptera: Heteroptera,Tingidae,lace bugs,0,UN,UN,UN,0,0,0,11,11,110,0,0,0,0,0,0,0,0.049887,2.27
Hemiptera: Sternorrhyncha,A,insect,Arthropoda: Insecta,Terrestrial,Hemiptera: Sternorrhyncha,x,"aphids, psyllids, coccids",0,UN,UN,UN,0,0,0,11,11,110,0,0,0,0,0,0,0,0.0598,1.724
Hemiptera: Sternorrhyncha,L,insect,Arthropoda: Insecta,Terrestrial,Hemiptera: Sternorrhyncha,x,"aphids, psyllids, coccids",0,UN,UN,UN,0,0,0,11,11,110,0,0,0,0,0,0,0,0.0598,1.724
Aphidoidea,L,insect,Arthropoda: Insecta,Terrestrial,Hemiptera: Sternorrhyncha,Aphidae,aphids,0,UN,UN,UN,0,0,0,11,11,110,0,0,0,0,0,0,0,0.0598,1.724
Aphididae,L,insect,Arthropoda: Insecta,Terrestrial,Hemiptera: Sternorrhyncha,Aphidae,aphids,0,UN,UN,UN,0,0,0,11,11,110,0,0,0,0,0,0,0,0.0598,1.724
Aphididae,A,insect,Arthropoda: Insecta,Terrestrial,Hemiptera: Sternorrhyncha,Aphidae,aphids,0,UN,UN,UN,0,0,0,11,11,110,0,0,0,0,0,0,0,0.0598,1.724
Psyllidae,A,insect,Arthropoda: Insecta,Terrestrial,Hemiptera: Sternorrhyncha,Psyllidae,psyllids,0,UN,UN,UN,0,0,0,11,11,110,0,0,0,0,0,0,0,0.0598,1.724
Coccoidea,L,insect,Arthropoda: Insecta,Terrestrial,Hemiptera: Sternorrhyncha,Coccoidea,scale insects,0,UN,UN,UN,0,0,0,11,11,110,0,0,0,0,0,0,0,0.005,3.33
Hymenoptera (except ants),A,insect,Arthropoda: Insecta,Terrestrial,Hymenoptera,x,"bees, wasps, parasitoids and sawflies",0,UN,UN,UN,0,0,0,11,11,110,0,0,0,0,0,0,0,0.02718,2.3314
Hymenoptera parasitoid,A,insect,Arthropoda: Insecta,Terrestrial,Hymenoptera,x,parasitic wasps,0,UN,UN,UN,0,0,0,11,11,110,0,0,0,0,0,0,0,0.01829,2.4525
Hymenoptera sawflies,L,insect,Arthropoda: Insecta,Terrestrial,Hymenoptera,x,sawfly wasps,0,UN,UN,UN,0,0,0,11,11,110,0,0,0,0,0,0,0,0.0537,2.3633
Hymenoptera sawflies,A,insect,Arthropoda: Insecta,Terrestrial,Hymenoptera,x,sawfly wasps,0,UN,UN,UN,0,0,0,11,11,110,0,0,0,0,0,0,0,0.0537,2.3633
Hymenoptera bees and wasps,A,insect,Arthropoda: Insecta,Terrestrial,Hymenoptera,x,bees,0,UN,UN,UN,0,0,0,11,11,110,0,0,0,0,0,0,0,0.0537,2.3633
Apidae,A,insect,Arthropoda: Insecta,Terrestrial,Hymenoptera,Apidae,bees,0,UN,UN,UN,0,0,0,11,11,110,0,0,0,0,0,0,0,0.0537,2.3633
Hymenoptera: Formicidae,A,insect,Arthropoda: Insecta,Terrestrial,Hymenoptera,Formicidae,ants,0,UN,UN,UN,0,0,0,11,11,110,0,0,0,0,0,0,0,0.0195,2.5064
Vespidae,A,insect,Arthropoda: Insecta,Terrestrial,Hymenoptera,Vespidae,hornets,0,UN,UN,UN,0,0,0,11,11,110,0,0,0,0,0,0,0,0.0537,2.3633
Isoptera,L,insect,Arthropoda: Insecta,Terrestrial,Isoptera,x,termites,0,UN,UN,UN,0,0,0,11,11,110,0,0,0,0,0,0,0,0.0305,2.62
Isoptera,A,insect,Arthropoda: Insecta,Terrestrial,Isoptera,x,termites,0,UN,UN,UN,0,0,0,11,11,110,0,0,0,0,0,0,0,0.0305,2.62
Lepidoptera,L,insect,Arthropoda: Insecta,Terrestrial,Lepidoptera,x,moths,0,UN,UN,UN,0,0,0,11,11,110,0,0,0,0,0,0,0,0.005875,2.809
Lepidoptera,P,insect,Arthropoda: Insecta,Terrestrial,Lepidoptera,x,moths,0,UN,UN,UN,0,0,0,11,11,110,0,0,0,0,0,0,0,0.005875,2.809
Lepidoptera,A,insect,Arthropoda: Insecta,Terrestrial,Lepidoptera,x,moths,0,UN,UN,UN,0,0,0,11,11,110,0,0,0,0,0,0,0,0.01765,2.903
Pyralidae,A,insect,Arthropoda: Insecta,Terrestrial,Lepidoptera,Pyralidae,moths,0,UN,UN,UN,0,0,0,11,11,110,0,0,0,0,0,0,0,0.012,2.695
Mecoptera,L,insect,Arthropoda: Insecta,Terrestrial,Mecoptera,x,x,0,UN,UN,UN,0,0,0,11,11,110,0,0,0,0,0,0,0,0.001382,3.358
Mecoptera,A,insect,Arthropoda: Insecta,Terrestrial,Mecoptera,x,x,0,UN,UN,UN,0,0,0,11,11,110,0,0,0,0,0,0,0,0.001382,3.358
Neuroptera,L,insect,Arthropoda: Insecta,Terrestrial,Neuroptera,x,x,0,UN,UN,UN,0,0,0,11,11,110,0,0,0,0,0,0,0,0.001382,3.358
Neuroptera,A,insect,Arthropoda: Insecta,Terrestrial,Neuroptera,x,x,0,UN,UN,UN,0,0,0,11,11,110,0,0,0,0,0,0,0,0.001382,3.358
Chrysopidae,L,insect,Arthropoda: Insecta,Terrestrial,Neuroptera,Chrysopidae,common lacewings,0,UN,UN,UN,0,0,0,11,11,110,0,0,0,0,0,0,0,0.001382,3.358
Hemerobiidae,A,insect,Arthropoda: Insecta,Terrestrial,Neuroptera,Hemerobiidae,brown lacewings,0,UN,UN,UN,0,0,0,11,11,110,0,0,0,0,0,0,0,0.001382,3.358
Orthoptera,L,insect,Arthropoda: Insecta,Terrestrial,Orthoptera,x,grasshoppers/crickets,0,UN,UN,UN,0,0,0,11,11,110,0,0,0,0,0,0,0,0.0488,2.515
Orthoptera,A,insect,Arthropoda: Insecta,Terrestrial,Orthoptera,x,grasshoppers/crickets,0,UN,UN,UN,0,0,0,11,11,110,0,0,0,0,0,0,0,0.03,2.55
Acrididae,L,insect,Arthropoda: Insecta,Terrestrial,Orthoptera,Acrididae,grasshoppers/crickets,0,UN,UN,UN,0,0,0,11,11,110,0,0,0,0,0,0,0,0.0488,2.515
Acrididae,A,insect,Arthropoda: Insecta,Terrestrial,Orthoptera,Acrididae,grasshoppers/crickets,0,UN,UN,UN,0,0,0,11,11,110,0,0,0,0,0,0,0,0.03,2.55
Gryllacrididae,A,insect,Arthropoda: Insecta,Terrestrial,Orthoptera,Gryllacrididae,leaf-rolling grasshoppers,0,UN,UN,UN,0,0,0,11,11,110,0,0,0,0,0,0,0,0.03,2.55
Psocoptera,A,insect,Arthropoda: Insecta,Terrestrial,Orthoptera,x,psocids,0,UN,UN,UN,0,0,0,11,11,110,0,0,0,0,0,0,0,0.05,2.4
Psocoptera,L,insect,Arthropoda: Insecta,Terrestrial,Psocoptera,x,psocids,0,UN,UN,UN,0,0,0,11,11,110,0,0,0,0,0,0,0,0.05,2.4
Thysanoptera,A,insect,Arthropoda: Insecta,Terrestrial,Thysanoptera,x,thrips,0,UN,UN,UN,0,0,0,11,11,110,0,0,0,0,0,0,0,0.0071,2.537
Thysanoptera,L,insect,Arthropoda: Insecta,Terrestrial,Thysanoptera,x,thrips,0,UN,UN,UN,0,0,0,11,11,110,0,0,0,0,0,0,0,0.0071,2.537
Symphoricarpos berries,E,Plant,Plantae: Tracheophyta,Terrestrial,Dipsacales,Caprifoliacea,snowberries,0,UN,UN,UN,0,0,0,11,11,110,0,0,0,0,0,0,0,0.2937,2.7696
Aquatic non-insects,U,non-insect,x,Aquatic,x,x,x,0,UN,UN,UN,0,0,0,11,11,110,0,0,0,0,0,0,0,0,0
Porifera,U,non-insect,Porifera,Aquatic,miscellaneous non-insect,x,sponges,0,CF,CF,CL,MT,11,0,6,11,108,0,2,2,1,3,2,2,0.006753,2.27
Hydrozoa,U,non-insect,Cnidaria: Hydrozoa,Aquatic,miscellaneous non-insect,,hydroids,4,PR,PR,CL,MT,5,0,5,11,108,0,3,2,1,1,2,2,0.006753,2.27
Hydridae,U,non-insect,Cnidaria: Hydrozoa,Aquatic,miscellaneous non-insect,Hydridae,hydroids,4,PR,PR,CL,MT,5,0,5,11,108,0,3,2,1,1,2,2,0.006753,2.27
Hydra,U,non-insect,Cnidaria: Hydrozoa,Aquatic,miscellaneous non-insect,Hydridae,hydroids,4,PR,PR,CL,MT,5,0,5,11,108,0,3,2,1,1,2,2,0.006753,2.27
Turbellaria,U,non-insect,Turbellaria,Aquatic,miscellaneous non-insect,x,flat worms,4,PR,PR,CL,0,4,0,4,11,108,0,2,2,1,2,2,2,0.0082,2.168
Trepaxonemata,U,non-insect,Turbellaria,Aquatic,miscellaneous non-insect,x,flat worms,4,PR,PR,CL,0,4,0,4,11,108,0,2,2,1,2,2,2,0.0082,2.168
Polycelis,U,non-insect,Turbellaria,Aquatic,miscellaneous non-insect,Planariidae,flat worms,3,PR,PR,CL,HI,4,0,1,11,108,0,2,2,1,1,2,1,0.0082,2.168
Nemata,U,non-insect,Nemata,Aquatic,miscellaneous non-insect,x,round worms,4,PA,PR,BU,0,5,0,6,11,108,0,2,2,1,2,2,2,0.0758,0.74
Nematomorpha,U,non-insect,Nematomorpha,Aquatic,miscellaneous non-insect,x,horsehair worms,0,PA,PR,BU,MT,11,0,6,11,108,0,1,2,1,3,2,2,0.0758,0.74
Prostoma,U,non-insect,Annelida: Nemertea,Aquatic,miscellaneous non-insect,Tetrastemmatidae,nemerteans,5,PR,PR,SP,0,8,0,8,11,110,0,2,2,1,1,1,2,0.0758,0.74
Tardigrada,U,non-insect,Tardigrada,Aquatic,,,water bears,0,PH,PH,CL,0,0,0,0,11,110,0,3,3,1,1,1,2,0.053,2.494
Ectoprocta,U,non-insect,Ectoprocta,Aquatic,miscellaneous non-insect,x,moss animalcules,0,CF,CF,CL,0,11,0,6,11,110,0,2,2,1,2,1,2,0.006753,2.27
Ectoprocta statoblast,U,non-insect,Ectoprocta,Aquatic,miscellaneous non-insect,x,moss animalcules,0,CF,CF,CL,0,11,0,6,11,110,0,2,2,1,2,1,2,0.0082,2.168
Oligochaeta,U,non-insect,Annelida: Oligochaeta,Aquatic,miscellaneous non-insect,x,segmented worms,4,CG,CG,BU,0,5,0,5,11,108,0,2,2,1,2,2,2,0.0758,0.74
Oligochaeta,E,non-insect,Annelida: Oligochaeta,Aquatic,miscellaneous non-insect,x,segmented worms,4,CG,CG,BU,0,5,0,5,11,108,0,2,2,1,2,2,2,0.0082,2.168
Enchytraeidae,U,non-insect,Annelida: Oligochaeta,Aquatic,miscellaneous non-insect,Enchytraeidae,segmented worms,4,CG,CG,BU,0,10,0,5,11,108,0,2,2,1,2,2,2,0.0758,0.74
Enchytraeus,U,non-insect,Annelida: Oligochaeta,Aquatic,miscellaneous non-insect,Enchytraeidae,segmented worms,4,CG,CG,BU,0,10,0,5,11,108,0,2,2,1,2,2,2,0.0758,0.74
Fridericia,U,non-insect,Annelida: Oligochaeta,Aquatic,miscellaneous non-insect,Enchytraeidae,segmented worms,4,CG,CG,BU,0,10,0,5,11,108,0,2,2,1,2,2,2,0.0758,0.74
Mesenchytraeus,U,non-insect,Annelida: Oligochaeta,Aquatic,miscellaneous non-insect,Enchytraeidae,segmented worms,4,CG,CG,BU,0,10,0,5,11,108,0,2,2,1,2,2,2,0.0758,0.74
Mesenchytraeus cf. pedatus,U,non-insect,Annelida: Oligochaeta,Aquatic,miscellaneous non-insect,Enchytraeidae,segmented worms,4,CG,CG,BU,0,10,0,5,11,108,0,2,2,1,2,2,2,0.0758,0.74
Lumbriculidae (aquatic),U,non-insect,Annelida: Oligochaeta,Aquatic,miscellaneous non-insect,Lumbriculidae,segmented worms,4,CG,CG,BU,0,8,0,5,11,108,0,2,2,1,3,2,2,0.0758,0.74
Lumbriculidae,U,non-insect,Annelida: Oligochaeta,Aquatic,miscellaneous non-insect,Lumbriculidae,segmented worms,4,CG,CG,BU,0,8,0,5,11,108,0,2,2,1,3,2,2,0.0758,0.74
Lumbriculus,U,non-insect,Annelida: Oligochaeta,Aquatic,miscellaneous non-insect,Lumbriculidae,segmented worms,5,CG,CG,BU,0,8,0,5,11,108,0,2,2,1,3,2,2,0.0758,0.74
Rhynchelmis,U,non-insect,Annelida: Oligochaeta,Aquatic,miscellaneous non-insect,Lumbriculidae,segmented worms,4,CG,CG,BU,0,8,0,5,11,108,0,2,2,1,3,2,2,0.0758,0.74
Stylodrilus,U,non-insect,Annelida: Oligochaeta,Aquatic,miscellaneous non-insect,Lumbriculidae,segmented worms,3,CG,CG,BU,0,8,0,5,11,108,0,2,2,1,3,2,2,0.0758,0.74
Stylodrilus heringianus,U,non-insect,Annelida: Oligochaeta,Aquatic,miscellaneous non-insect,Lumbriculidae,segmented worms,3,CG,CG,BU,0,8,0,5,11,108,0,2,2,1,3,2,2,0.0758,0.74
