site,taxon,season,replicate,biomass
bravo,stonefly,winter,1,0
bravo,stonefly,winter,2,5
bravo,stonefly,winter,3,7
bravo,stonefly,winter,4,2
bravo,stonefly,winter,5,3
bravo,stonefly,spring,1,5
bravo,stonefly,spring,2,1
bravo,stonefly,spring,3,9
bravo,stonefly,spring,4,3
bravo,stonefly,spring,5,6
bravo,stonefly,summer,1,8
bravo,stonefly,summer,2,0
bravo,stonefly,summer,3,4
bravo,stonefly,summer,4,5
bravo,stonefly,summer,5,8
bravo,stonefly,fall,1,
bravo,stonefly,fall,2,6
bravo,stonefly,fall,3,2
bravo,stonefly,fall,4,1
bravo,stonefly,fall,5,8
bravo,mayfly,winter,1,4
bravo,mayfly,winter,2,1
bravo,mayfly,winter,3,0
bravo,mayfly,winter,4,3
bravo,mayfly,winter,5,6
bravo,mayfly,spring,1,3
bravo,mayfly,spring,2,4
bravo,mayfly,spring,3,8
bravo,mayfly,spring,4,4
bravo,mayfly,spring,5,8
bravo,mayfly,summer,1,7
bravo,mayfly,summer,2,9
bravo,mayfly,summer,3,2
bravo,mayfly,summer,4,4
bravo,mayfly,summer,5,5
bravo,mayfly,fall,1,1
bravo,mayfly,fall,2,0
bravo,mayfly,fall,3,5
bravo,mayfly,fall,4,3
bravo,mayfly,fall,5,7
bravo,cadissfly,winter,1,9
bravo,cadissfly,winter,2,3
bravo,cadissfly,winter,3,1
bravo,cadissfly,winter,4,0
bravo,cadissfly,winter,5,4
bravo,cadissfly,spring,1,2
bravo,cadissfly,spring,2,7
bravo,cadissfly,spring,3,6
bravo,cadissfly,spring,4,3
bravo,cadissfly,spring,5,9
bravo,cadissfly,summer,1,5
bravo,cadissfly,summer,2,9
bravo,cadissfly,summer,3,7
bravo,cadissfly,summer,4,3
bravo,cadissfly,summer,5,2
bravo,cadissfly,fall,1,6
bravo,cadissfly,fall,2,0
bravo,cadissfly,fall,3,6
bravo,cadissfly,fall,4,3
bravo,cadissfly,fall,5,2
